Dataset,Horizon,Model,MAE,RMSE,MAPE
Netflix,Short,Naive,25.28,27.7098,9.4178
Netflix,Short,ARIMA,11.9379,13.2965,4.4393
Netflix,Short,RNN,16.6764,18.1411,6.2235
Netflix,Short,LSTM,9.6723,10.0717,3.6474
Netflix,Short,GRU,11.6432,13.0349,4.3321
Netflix,Short,TFT,28.7716,31.106,10.7368
Netflix,Medium,Naive,26.7563,32.5431,10.3223
Netflix,Medium,ARIMA,6.6764,9.5188,2.5235
Netflix,Medium,RNN,12.5617,15.4166,5.1273
Netflix,Medium,LSTM,42.5567,42.8656,17.2984
Netflix,Medium,GRU,29.8438,30.7702,12.2197
Netflix,Medium,TFT,32.0319,33.7898,12.7051
Netflix,Long,Naive,28.9133,35.2541,11.5433
Netflix,Long,ARIMA,18.9033,24.2695,7.4842
Netflix,Long,RNN,80.7141,81.4754,34.3533
Netflix,Long,LSTM,76.5901,77.3745,32.6297
Netflix,Long,GRU,74.9429,75.771,31.9429
Netflix,Long,TFT,37.6659,42.6975,15.2488
NVDA,Short,Naive,7.3751,7.4623,5.4697
NVDA,Short,ARIMA,8.0211,8.1814,5.9427
NVDA,Short,RNN,3.42,3.604,2.5341
NVDA,Short,LSTM,2.4322,2.7718,1.7945
NVDA,Short,GRU,1.2794,1.5636,0.947
NVDA,Short,TFT,1.7986,1.9958,1.3375
NVDA,Medium,Naive,9.5116,10.0894,6.9528
NVDA,Medium,ARIMA,15.4263,16.7706,11.2866
NVDA,Medium,RNN,14.22,14.9708,10.2383
NVDA,Medium,LSTM,11.1091,12.4418,7.96
NVDA,Medium,GRU,14.5404,16.1265,10.4247
NVDA,Medium,TFT,11.2251,12.7039,8.0353
NVDA,Long,Naive,4.3442,5.7655,3.0531
NVDA,Long,ARIMA,6.6951,8.4631,4.885
NVDA,Long,RNN,22.0105,23.4222,15.7314
NVDA,Long,LSTM,23.1799,23.3457,16.6643
NVDA,Long,GRU,18.4868,19.0899,13.2302
NVDA,Long,TFT,18.0092,18.5097,12.8903
PG,Short,Naive,4.5903,4.7704,2.8129
PG,Short,ARIMA,5.9882,6.1562,3.6683
PG,Short,RNN,9.6705,9.8106,5.9205
PG,Short,LSTM,1.8922,2.1611,1.1603
PG,Short,GRU,5.1289,5.2212,3.1403
PG,Short,TFT,2.628,2.9674,1.6135
PG,Medium,Naive,4.0679,5.5381,2.3969
PG,Medium,ARIMA,3.323,4.5043,1.9609
PG,Medium,RNN,2.928,4.2497,1.7253
PG,Medium,LSTM,3.2087,4.4923,1.8895
PG,Medium,GRU,6.2068,7.4242,3.6799
PG,Medium,TFT,3.4784,4.8496,2.0481
PG,Long,Naive,2.9078,3.7822,1.7422
PG,Long,ARIMA,3.2579,3.8035,1.9661
PG,Long,RNN,3.631,4.3913,2.1933
PG,Long,LSTM,8.9013,9.9083,5.4518
PG,Long,GRU,4.4327,5.9188,2.6365
PG,Long,TFT,2.8876,3.8284,1.7264
XOM,Short,Naive,5.6343,5.9264,5.4931
XOM,Short,ARIMA,5.6983,5.9924,5.5554
XOM,Short,RNN,8.9763,9.1608,8.7325
XOM,Short,LSTM,4.6231,4.9457,4.5113
XOM,Short,GRU,7.1607,7.3814,6.9714
XOM,Short,TFT,3.6392,3.9678,3.5539
XOM,Medium,Naive,7.2977,8.8608,6.9967
XOM,Medium,ARIMA,7.2024,8.7793,6.9074
XOM,Medium,RNN,3.8424,4.8749,3.6455
XOM,Medium,LSTM,5.1781,5.7077,4.805
XOM,Medium,GRU,4.9937,5.5863,4.6029
XOM,Medium,TFT,5.6901,7.1019,5.0821
XOM,Long,Naive,7.6782,9.2913,7.2412
XOM,Long,ARIMA,7.6782,9.2913,7.2412
XOM,Long,RNN,4.0621,4.7199,3.7189
XOM,Long,LSTM,4.5239,5.2455,4.0633
XOM,Long,GRU,6.8971,8.2033,6.1267
XOM,Long,TFT,5.8366,6.6277,5.2153
BTC-USD,Short,Naive,6176.5898,6467.1406,6.4944
BTC-USD,Short,ARIMA,9607.5217,11111.0404,10.2229
BTC-USD,Short,RNN,5181.582,5257.2941,5.4032
BTC-USD,Short,LSTM,3744.498,6032.3984,3.6702
BTC-USD,Short,GRU,3999.5273,4190.5055,4.0992
BTC-USD,Short,TFT,9825.5938,11199.3693,9.9462
BTC-USD,Medium,Naive,16118.1299,16691.7164,16.5202
BTC-USD,Medium,ARIMA,13223.8075,14005.3596,13.5117
BTC-USD,Medium,RNN,27626.6396,27960.7685,28.4609
BTC-USD,Medium,LSTM,27508.0225,27873.1596,28.3337
BTC-USD,Medium,GRU,24583.4336,24971.7401,25.3115
BTC-USD,Medium,TFT,30906.9106,31229.7364,31.8564
BTC-USD,Long,Naive,25389.0286,28382.8414,27.1054
BTC-USD,Long,ARIMA,24949.6854,28007.8822,26.5884
BTC-USD,Long,RNN,29579.888,33172.3656,31.5414
BTC-USD,Long,LSTM,28022.2249,31524.7582,29.8412
BTC-USD,Long,GRU,31271.5872,34551.2184,33.5734
BTC-USD,Long,TFT,26799.1592,29695.8183,28.722
